,upc_clean,promo_period,Item_Description,Promo_Start_Week,Promo_End_Week,Promo_Weeks,Regular_Price,Special_Price,Unit_Cost,Baseline_Units,Promo_Units,Baseline_Revenue,Promo_Revenue,Incremental_Revenue,Promo_Spend,ROI,Lift,Breakeven_Lift
1546,3410008746,6_7,REDDS HARD APPLE  STRAWBERRY ALE 4/6/12oz,6,7,2,10.99,8.98,8.25,0.0,0.0,0.0,0.0,0.0,0.0,,,
1547,34100573157,5,MILLER LITE 4/10oz,5,5,1,5.99,4.98,4.74,0.0,0.0,0.0,0.0,0.0,0.0,,,
1548,34100573157,8_9,MILLER LITE 4/10oz,8,9,2,5.99,4.98,4.74,0.0,0.0,0.0,0.0,0.0,0.0,,,
1549,3410057632,14,MILLER LITE 12 PACK 10 OZ,14,14,1,11.99,9.48,9.35,0.0,0.0,0.0,0.0,0.0,0.0,,,
1550,3410098930,6_7,REDDS HARD APPLE BLACK CHERRY 4/6/12oz,6,7,2,10.99,8.98,8.25,0.0,0.0,0.0,0.0,0.0,0.0,,,
1551,3412107,10_11,HERSHEY MILK CHOCO KISSES STANDARD BAR 24/1.55oz,10,11,2,1.29,1.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,,,
1552,3423909,10_11,HERSHEY COOKIES N CREME STANDARD BAR 36/1.5oz,10,11,2,1.29,1.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,,,
1553,3424005,10_11,HERSHEY MILK CHOCO STANDARD BAR 36/1.55oz,10,11,2,1.29,1.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,,,
1554,3424102,10_11,HERSHEY MILK W ALMOND STANDARD BAR 36/1.45oz,10,11,2,1.29,1.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,,,
1555,35000107084,3_4,PROTEX PUMP 12/7.5oz,3,4,2,2.39,1.67,1.39,0.0,0.0,0.0,0.0,0.0,0.0,,,
1556,3500014110,14,IRISH SPRING ORIGINAL 9/8/3.75oz,14,14,1,7.49,5.95,5.32,0.0,0.0,0.0,0.0,0.0,0.0,,,
1557,3500014118,14,IRISH SPRING ALOE 9/8/3.75oz,14,14,1,7.49,5.95,5.32,0.0,0.0,0.0,0.0,0.0,0.0,,,
1558,3500014127,14,IRISH SPRING ICY BLAST 9/8/3.75oz,14,14,1,7.49,5.95,5.32,0.0,0.0,0.0,0.0,0.0,0.0,,,
1559,3500014329,14,IRISH SPRING MOISTURE BLAST 9/8/3.75oz,14,14,1,7.49,5.95,5.32,0.0,0.0,0.0,0.0,0.0,0.0,,,
1560,3500014895,14,IRISH SPRING CLEAN SCRUB 9/8/3.75oz,14,14,1,7.49,5.95,5.32,0.0,0.0,0.0,0.0,0.0,0.0,,,
1561,3500045038,5,PALMOLIVE ULTRA ANTIBACTERIAL ORANGE 9/20oz,5,5,1,4.19,2.0,1.91556,0.0,0.0,0.0,0.0,0.0,0.0,,,
1562,3500045038,6_7,PALMOLIVE ULTRA ANTIBACTERIAL ORANGE 9/20oz,6,7,2,4.19,2.0,1.91556,0.0,0.0,0.0,0.0,0.0,0.0,,,
1563,3500045038,8_9,PALMOLIVE ULTRA ANTIBACTERIAL ORANGE 9/20oz,8,9,2,4.19,2.0,1.91556,0.0,0.0,0.0,0.0,0.0,0.0,,,
1564,3500045041,5,PALMOLIVE ULTRA OXY 9/20oz,5,5,1,4.19,2.0,1.91556,0.0,0.0,0.0,0.0,0.0,0.0,,,
1565,3500045041,6_7,PALMOLIVE ULTRA OXY 9/20oz,6,7,2,4.19,2.0,1.91556,0.0,0.0,0.0,0.0,0.0,0.0,,,
1566,3500045041,8_9,PALMOLIVE ULTRA OXY 9/20oz,8,9,2,4.19,2.0,1.91556,0.0,0.0,0.0,0.0,0.0,0.0,,,
1567,3500045043,5,PALMOLIVE ULTRA LAVENDER 9/20oz,5,5,1,4.19,2.0,1.91556,0.0,0.0,0.0,0.0,0.0,0.0,,,
1568,3500045043,6_7,PALMOLIVE ULTRA LAVENDER 9/20oz,6,7,2,4.19,2.0,1.91556,0.0,0.0,0.0,0.0,0.0,0.0,,,
1569,3500045043,8_9,PALMOLIVE ULTRA LAVENDER 9/20oz,8,9,2,4.19,2.0,1.91556,0.0,0.0,0.0,0.0,0.0,0.0,,,
1570,3500045044,5,PALMOLIVE ULTRA ALOE & CITRUS 9/20oz,5,5,1,4.19,2.0,1.91556,0.0,0.0,0.0,0.0,0.0,0.0,,,
1571,3500045044,6_7,PALMOLIVE ULTRA ALOE & CITRUS 9/20oz,6,7,2,4.19,2.0,1.91556,0.0,0.0,0.0,0.0,0.0,0.0,,,
1572,3500045044,8_9,PALMOLIVE ULTRA ALOE & CITRUS 9/20oz,8,9,2,4.19,2.0,1.91556,0.0,0.0,0.0,0.0,0.0,0.0,,,
1573,350004506,12_13,PALMOLIVE ULTRA OXY 9/32.5oz,12,13,2,4.49,3.28,2.83333,0.0,0.0,0.0,0.0,0.0,0.0,,,
1574,350004506,14,PALMOLIVE ULTRA OXY 9/32.5oz,14,14,1,4.49,3.28,2.83333,0.0,0.0,0.0,0.0,0.0,0.0,,,
1575,350004506,3_4,PALMOLIVE ULTRA OXY 9/32.5oz,3,4,2,4.49,3.28,2.83333,0.0,0.0,0.0,0.0,0.0,0.0,,,
1576,3500045068,12_13,PALMOLIVE ULTRA PURE & CLEAR 9/32.5oz,12,13,2,4.49,3.28,2.83333,0.0,0.0,0.0,0.0,0.0,0.0,,,
1577,3500045068,14,PALMOLIVE ULTRA PURE & CLEAR 9/32.5oz,14,14,1,4.49,3.28,2.83333,0.0,0.0,0.0,0.0,0.0,0.0,,,
1578,3500045068,3_4,PALMOLIVE ULTRA PURE & CLEAR 9/32.5oz,3,4,2,4.49,3.28,2.83333,0.0,0.0,0.0,0.0,0.0,0.0,,,
1579,3500045072,12_13,PALMOLIVE ULTRA ANTIBACTERIAL ORANGE 9/32.5oz,12,13,2,4.49,3.28,2.83333,0.0,0.0,0.0,0.0,0.0,0.0,,,
1580,3500045072,14,PALMOLIVE ULTRA ANTIBACTERIAL ORANGE 9/32.5oz,14,14,1,4.49,3.28,2.83333,0.0,0.0,0.0,0.0,0.0,0.0,,,
1581,3500045072,3_4,PALMOLIVE ULTRA ANTIBACTERIAL ORANGE 9/32.5oz,3,4,2,4.49,3.28,2.83333,0.0,0.0,0.0,0.0,0.0,0.0,,,
1582,3500045093,12_13,PALMOLIVE ULTRA ORIGINAL 9/32.5oz,12,13,2,4.49,3.28,2.83333,0.0,0.0,0.0,0.0,0.0,0.0,,,
1583,3500045093,14,PALMOLIVE ULTRA ORIGINAL 9/32.5oz,14,14,1,4.49,3.28,2.83333,0.0,0.0,0.0,0.0,0.0,0.0,,,
1584,3500045093,3_4,PALMOLIVE ULTRA ORIGINAL 9/32.5oz,3,4,2,4.49,3.28,2.83333,0.0,0.0,0.0,0.0,0.0,0.0,,,
1585,3500045118,5,PALMOLIVE ULTRA ORIGINAL 9/20oz,5,5,1,4.19,2.0,1.91556,0.0,0.0,0.0,0.0,0.0,0.0,,,
1586,3500045118,6_7,PALMOLIVE ULTRA ORIGINAL 9/20oz,6,7,2,4.19,2.0,1.91556,0.0,0.0,0.0,0.0,0.0,0.0,,,
1587,3500045118,8_9,PALMOLIVE ULTRA ORIGINAL 9/20oz,8,9,2,4.19,2.0,1.91556,0.0,0.0,0.0,0.0,0.0,0.0,,,
1588,3500045461,10_11,COLGATE 360 ADVANCED OPTIC WHITE 12/2pk,10,11,2,7.99,5.98,4.77,0.0,0.0,0.0,0.0,0.0,0.0,,,
1589,3500045541,10_11,COLGATE GUM HEALTH 12/2pk,10,11,2,7.99,5.98,4.77,0.0,0.0,0.0,0.0,0.0,0.0,,,
1590,3500047299,10_11,SUAVITEL COMPLETE DRYER SHEETS FIELD OF FLOWERS 6/70ct,10,11,2,6.989999999999999,4.98,3.35,0.0,0.0,0.0,0.0,0.0,0.0,,,
1591,3500051120,10_11,COLGATE BAKING SODA & PEROXIDE WHITENNING VALUE PK 12/2/6oz,10,11,2,4.8100000000000005,3.68,3.08333,0.0,0.0,0.0,0.0,0.0,0.0,,,
1592,3500051120,14,COLGATE BAKING SODA & PEROXIDE WHITENNING VALUE PK 12/2/6oz,14,14,1,4.8100000000000005,3.68,3.08333,0.0,0.0,0.0,0.0,0.0,0.0,,,
1593,3500051120,5,COLGATE BAKING SODA & PEROXIDE WHITENNING VALUE PK 12/2/6oz,5,5,1,4.8100000000000005,3.68,3.08333,0.0,0.0,0.0,0.0,0.0,0.0,,,
1594,3500051120,6_7,COLGATE BAKING SODA & PEROXIDE WHITENNING VALUE PK 12/2/6oz,6,7,2,4.8100000000000005,3.68,3.08333,0.0,0.0,0.0,0.0,0.0,0.0,,,
1595,35000530226,12_13,FABULOSO OCEAN PARADISE 28 OZ,12,13,2,1.99,1.25,1.21,0.0,0.0,0.0,0.0,0.0,0.0,,,
1596,35000530226,3_4,FABULOSO OCEAN PARADISE 28 OZ,3,4,2,1.99,1.25,1.21,0.0,0.0,0.0,0.0,0.0,0.0,,,
1597,3500053096,14,FABULOSO MULTI PURPOSE CLEANER LAVENDER 12/33.8oz,14,14,1,3.39,2.0,1.8925,0.0,0.0,0.0,0.0,0.0,0.0,,,
1598,3500053096,8_9,FABULOSO MULTI PURPOSE CLEANER LAVENDER 12/33.8oz,8,9,2,3.39,2.0,1.58083,0.0,0.0,0.0,0.0,0.0,0.0,,,
1599,3500067122,10_11,COLGATE TOTAL ADVANCED PEPPERMINT BLAST MOUTHWASH 6/16.9oz,10,11,2,5.99,4.98,3.98,0.0,0.0,0.0,0.0,0.0,0.0,,,
1600,3500067125,10_11,COLGATE TOTAL ADVANCED SPEARMINT SURGE MOUTHWASH 6/16.9oz,10,11,2,5.99,4.98,3.98,0.0,0.0,0.0,0.0,0.0,0.0,,,
1601,35000671530,10_11,COLGATE TOTAL ADVANCED GUM HEALTH MOUTHWASH 16.9 OZ. / 500ML,10,11,2,5.99,4.98,3.98,0.0,0.0,0.0,0.0,0.0,0.0,,,
1602,3500097471,14,FABULOSO MULTI PURPOSE CLEANER REFRESHING LEMON 12/33.8oz,14,14,1,3.39,2.0,1.8925,0.0,0.0,0.0,0.0,0.0,0.0,,,
1603,3500097471,8_9,FABULOSO MULTI PURPOSE CLEANER REFRESHING LEMON 12/33.8oz,8,9,2,3.39,2.0,1.58083,0.0,0.0,0.0,0.0,0.0,0.0,,,
1604,3500098870,14,FABULOSO BLEACH SPRING FRESH 6/56oz,14,14,1,3.39,2.0,1.90667,0.0,0.0,0.0,0.0,0.0,0.0,,,
1605,3500098870,8_9,FABULOSO BLEACH SPRING FRESH 6/56oz,8,9,2,3.39,2.0,1.595,0.0,0.0,0.0,0.0,0.0,0.0,,,
1606,3500099360,6_7,IRISH SPRING BW CHARCOAL REFRESH 4/20 OZ,6,7,2,5.99,4.98,3.83,0.0,0.0,0.0,0.0,0.0,0.0,,,
1607,3500099361,6_7,IRISH SPRING BW ACTION SCRUB 4/20 OZ,6,7,2,5.99,4.98,3.83,0.0,0.0,0.0,0.0,0.0,0.0,,,
1608,3500099397,6_7,IRISH SPRING BW ULTIMATE WAKEUP 4/20 OZ,6,7,2,5.99,4.98,3.83,0.0,0.0,0.0,0.0,0.0,0.0,,,
1609,3500099661,6_7,IRISH SPRING BW MOISTURE BLAST 4/20 OZ,6,7,2,5.99,4.98,3.83,0.0,0.0,0.0,0.0,0.0,0.0,,,
1610,3500099674,6_7,IRISH SPRING BW ORIGINAL CLEAN 4/20 OZ,6,7,2,5.99,4.98,3.83,0.0,0.0,0.0,0.0,0.0,0.0,,,
1611,3500099675,6_7,IRISH SPRING BW 5IN1 4/20 OZ,6,7,2,5.99,4.98,3.83,0.0,0.0,0.0,0.0,0.0,0.0,,,
1612,350061106663,10_11,JP CHENET FASHION PEACH 750ml,10,11,2,10.99,8.98,8.4,0.0,0.0,0.0,0.0,0.0,0.0,,,
1613,350061106663,3_4,JP CHENET FASHION PEACH 750ml,3,4,2,10.99,8.98,8.4,0.0,0.0,0.0,0.0,0.0,0.0,,,
1614,35229000232,8_9,ABSOLUT MANDARIN 12/750ml,8,9,2,19.99,17.98,16.78,0.0,0.0,0.0,0.0,0.0,0.0,,,
1615,35310015025,10_11,PANADOL EXTRA STRENGTH 500MG CAPS 12/50ct,10,11,2,6.99,5.68,4.65,0.0,0.0,0.0,0.0,0.0,0.0,,,
1616,3600001003,12_13,KOTEX U MAXI PADS REGULAR 6/24ct,12,13,2,4.99,3.48,3.25,0.0,0.0,0.0,0.0,0.0,0.0,,,
1617,36000014006,12_13,KOTEX OVERNIGHT MAXI PADS 8/14,12,13,2,4.99,3.48,3.22,0.0,0.0,0.0,0.0,0.0,0.0,,,
1618,36000014099,12_13,KOTEX OVERNITE W/WINGS 14 CT,12,13,2,4.99,3.48,3.22,0.0,0.0,0.0,0.0,0.0,0.0,,,
1619,3600003004,10_11,KOTEX U ULTRATHIN PADS REG 4/44ct,10,11,2,7.99,5.98,5.1,0.0,0.0,0.0,0.0,0.0,0.0,,,
1620,3600003004,5,KOTEX U ULTRATHIN PADS REG 4/44ct,5,5,1,7.99,5.98,5.1,0.0,0.0,0.0,0.0,0.0,0.0,,,
