Item,Week #,Regular Price,Special Price,"Units Sold
Last Week","Units Sold
This Week",Promo Spend,"Incremental 
Revenue",Promo ROI
ECONO GELATINA EN POLVO ORANGE 24/3oz,8,$1.89,$1.00,10,32,$28,$13,0.5
ECONO GELATINA EN POLVO ORANGE 24/3oz,9,$1.89,$1.00,32,42,$37,-$18,-0.5
ECONO GELATINA EN POLVO ORANGE 24/3oz,12,$1.89,$1.00,25,54,$48,$7,0.1
ECONO GELATINA EN POLVO ORANGE 24/3oz,13,$1.89,$1.00,54,21,$19,-$81,-4.3
ECONO GELATINA EN POLVO CHERRY 24/3oz,3,$1.89,$1.00,10,47,$42,$28,0.7
ECONO GELATINA EN POLVO CHERRY 24/3oz,4,$1.89,$1.00,47,44,$39,-$45,-1.1
ECONO GELATINA EN POLVO CHERRY 24/3oz,9,$1.89,$1.00,41,38,$34,-$39,-1.2
ECONO GELATINA EN POLVO CHERRY 24/3oz,12,$1.89,$1.00,30,49,$44,-$8,-0.2
ECONO GELATINA EN POLVO CHERRY 24/3oz,13,$1.89,$1.00,49,31,$28,-$62,-2.2
ECONO GELATINA EN POLVO STRAWBERRY S/F 24/.3oz,3,$1.89,$1.00,14,32,$28,$6,0.2
ECONO GELATINA EN POLVO STRAWBERRY S/F 24/.3oz,4,$1.89,$1.00,32,24,$21,-$36,-1.7
ECONO GELATINA EN POLVO STRAWBERRY S/F 24/.3oz,8,$1.89,$1.00,10,15,$13,-$4,-0.3
ECONO GELATINA EN POLVO STRAWBERRY S/F 24/.3oz,9,$1.89,$1.00,15,7,$6,-$21,-3.4
ECONO GELATINA EN POLVO STRAWBERRY S/F 24/.3oz,13,$1.89,$1.00,14,26,$23,$0,0.0
ECONO GELATINA EN POLVO ORANGE S/F 24/.3oz,4,$1.89,$1.00,25,16,$14,-$31,-2.2
ECONO GELATINA EN POLVO ORANGE S/F 24/.3oz,13,$1.89,$1.00,17,14,$12,-$18,-1.5
ECONO GELATINA EN POLVO CHERRY S/F 24/.3oz,4,$1.89,$1.00,35,24,$21,-$42,-2.0
ECONO GELATINA EN POLVO CHERRY S/F 24/.3oz,9,$1.89,$1.00,19,13,$12,-$23,-2.0
ECONO BEBIDA POUCH FRUIT PUNCH 4/10/6.75oz,5,$3.00,$2.00,58,107,$107,$40,0.4
ECONO BEBIDA POUCH FRUIT PUNCH 4/10/6.75oz,8,$3.00,$2.00,37,209,$209,$307,1.5
ECONO BEBIDA POUCH FRUIT PUNCH 4/10/6.75oz,9,$3.00,$2.00,209,122,$122,-$383,-3.1
ECONO BEBIDA POUCH FRUIT PUNCH 4/10/6.75oz,14,$3.00,$2.28,60,84,$60,$12,0.2
ECONO BEBIDA POUCH GRAPE 4/10/6.75oz,5,$3.00,$2.00,30,40,$40,-$10,-0.3
ECONO BEBIDA POUCH GRAPE 4/10/6.75oz,8,$3.00,$2.00,38,111,$111,$108,1.0
ECONO BEBIDA POUCH GRAPE 4/10/6.75oz,9,$3.00,$2.00,111,67,$67,-$199,-3.0
ECONO BEBIDA POUCH GRAPE 4/10/6.75oz,14,$3.00,$2.28,25,42,$30,$21,0.7
ECONO BEBIDA POUCH KIWI STRAWBERRY 4/10/6.75oz,5,$3.00,$2.00,51,117,$117,$81,0.7
ECONO BEBIDA POUCH KIWI STRAWBERRY 4/10/6.75oz,8,$3.00,$2.00,40,186,$186,$252,1.4
ECONO BEBIDA POUCH KIWI STRAWBERRY 4/10/6.75oz,9,$3.00,$2.00,186,113,$113,-$332,-2.9
